category_name,name,rating,votes,address
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
Car_Dealers,Sarvesh Ford,3.9,3241,"296-3/2,, Chennai Bangalore Highway, Perumugai, Vellore - 632009, Indira Nagar, Perumugai"
Car_Dealers,Vds Sayar Bajajs,3.8,846,"23, Katpadi Road, Vellore Bazaar, Vellore - 632004, Near New Bus Stand"
Car_Dealers,Sayar Automotive Pvt Ltd,3.7,846,"31/2-4, Bangalore to Chennai Highways, Alamelumangapuram, Vellore - 632009, Opposite Ford Showroom, Perumugai"
Car_Dealers,Balaji Honda,3.9,786,"99/4b1, Balaji Honda Complex, Perumugai, Vellore - 632009, Near Kh Exports & Ggr College"
Car_Dealers,Sri Amman Cars,4.9,786,"gu Nagar, Uthangarai, Tamil Nadu 635207, Tirupattur Main Road, Tirupattur, Tirupattur - 635601"
Car_Dealers,Ganesh Cars Pvt Ltd,4.2,2335,"32, New Bye Pass Road, Vellore Ho, Vellore - 632001, Near Green Circle"
Car_Dealers,Sri Amman Cars INDIA Pvt Lt..,4.0,2335,"67, Katpadi Main Road, Gandhi Nagar Vellore, Vellore - 632006, Next to Dominos Pizza"
Car_Dealers,Jains Hyundai,4.7,21,"108, Infant Leonard L-10054588, Alamelumangapuram, Vellore - 632009, Venkatapuram New Vasoor"
Car_Dealers,Amman Cars,4.8,21,"67, Katpadi Main Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Car_Dealers,Jain Cars,4.0,3241,"108, Bangalore to Chennai Highway, Vasur, Vellore - 632514, Near Venkatapuram New Vasoor"
